학번,이름,주소,전화번호
101,ALOHA,인천시 부평구,010-1111-2222
102,ALOHA,서울시 강동구,010-5555-2222
103,ALOHA,서울시 은평구,010-2121-2222
104,ALOHA,서울시 성북구,010-0000-2222
105,ALOHA,서울시 강남구,010-3333-4444
106,ALOHA,부산시 해운대구,010-5555-6666
107,ALOHA,서울시 마포구,010-7777-8888
108,ALOHA,경기도 성남시,010-9999-0000
109,ALOHA,인천시 검단구,010-1234-5678
110,ALOHA,인천시 부평구,010-1111-2222
111,ALOHA,서울시 강동구,010-5555-2222
112,ALOHA,서울시 은평구,010-2121-2222
113,ALOHA,서울시 성북구,010-0000-2222
114,ALOHA,서울시 강남구,010-3333-4444
115,ALOHA,부산시 해운대구,010-5555-6666
116,ALOHA,서울시 마포구,010-7777-8888
117,ALOHA,경기도 성남시,010-9999-0000
118,ALOHA,인천시 검단구,010-1234-5678
