학번,이름,주소,전화번호
101,철수,인천시 부평구,010-1111-2222
102,영희,서울시 강동구,010-5555-2222
103,민수,서울시 은평구,010-2121-2222
104,지훈,서울시 성북구,010-0000-2222
105,서연,서울시 강남구,010-3333-4444
106,지원,부산시 해운대구,010-5555-6666
107,지민,서울시 마포구,010-7777-8888
108,지후,경기도 성남시,010-9999-0000
109,영민,인천시 검단구,010-1234-5678
110,지우,인천시 부평구,010-1111-2222
111,태영,서울시 강동구,010-5555-2222
112,서준,서울시 은평구,010-2121-2222
113,예준,서울시 성북구,010-0000-2222
114,지호,서울시 강남구,010-3333-4444
115,영호,부산시 해운대구,010-5555-6666
116,준서,서울시 마포구,010-7777-8888
117,태현,경기도 성남시,010-9999-0000
118,지영,인천시 검단구,010-1234-5678
